month,chat,fine-tuned,merge,pretrained,month_label
2024-06-01,0.3375,0.225,0.15625,0.28125,24-06
2024-07-01,0.3472222222222222,0.3611111111111111,0.1388888888888889,0.1527777777777778,24-07
2024-08-01,0.36893203883495146,0.4563106796116505,0.11650485436893204,0.05825242718446602,24-08
2024-09-01,0.32270916334661354,0.42231075697211157,0.22709163346613545,0.027888446215139442,24-09
2024-10-01,0.208955223880597,0.40298507462686567,0.3582089552238806,0.029850746268656716,24-10
2024-11-01,0.16279069767441862,0.4069767441860465,0.3313953488372093,0.09883720930232558,24-11
2024-12-01,0.08974358974358974,0.5170940170940171,0.36752136752136755,0.02564102564102564,24-12
2025-01-01,0.07084468664850137,0.4986376021798365,0.35967302452316074,0.07084468664850137,25-01
2025-02-01,0.04390243902439024,0.3853658536585366,0.526829268292683,0.04390243902439024,25-02
2025-03-01,0.03418803418803419,0.4188034188034188,0.48717948717948717,0.05982905982905983,25-03
