level,scope,n,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max,mean,sd,skew,kurtosis_excess
record,ALL_unique_union,261086,20.573683268650814,37.836087196915436,42.88931989600419,45.386539019930105,49.31734182463843,53.29782328546341,58.24080169435776,65.27089248778088,68.9340289627691,75.06870741496967,88.69887391735354,54.23226387916365,7.722491149855086,0.5311807991975132,0.5700252975768665
record,ALL_pre_dedup,272505,20.573683268650814,37.82539598577711,42.87705346852388,45.3659621560655,49.29845891281492,53.271085756798186,58.17174225617185,65.19321573234753,68.8608496462928,74.95983592549283,88.69887391735354,54.1895363782136,7.694899454270661,0.5293679115559032,0.5775490357729485
domain,A1::arxiv,1419,41.06935486764393,49.08244323662554,55.007817370421634,56.90617448253212,59.75200720249893,64.40565373434062,68.04638526492904,70.65144326497406,72.18174505500251,75.20791933888181,78.58531098502816,63.862359595226806,5.602849485122005,-0.3325070815382569,0.08849745431897338
domain,A1::book,171,44.25945551315112,46.89204077938114,48.960046701209315,49.5981638032336,52.4968547489501,55.47767573925225,59.99017973445196,62.38752966995928,63.31743856773738,67.14160689643045,68.97612838601756,56.03252048079162,4.793530056477265,0.18408955026786544,-0.5033403777989585
domain,A1::c4,10000,37.60122562681951,44.519548228319984,49.77179850915445,53.62534555794227,60.33942223789336,66.9112271907652,72.409773454392,76.61733129535106,79.12374939486153,83.57873829658715,88.69887391735354,66.00211266187863,8.824631375338626,-0.38090562831006974,-0.2269425337183124
domain,A1::commoncrawl,9640,29.205628818006964,44.998443302801306,51.06656792496192,54.696296549653916,60.0202414101807,65.08416242550962,69.35792721204291,72.90631608793123,74.96470287838325,79.08553109991117,85.27039583907421,64.33570995356355,7.224190253595176,-0.5068463950806318,0.39644762532092814
domain,A1::github,10000,24.011690186016324,37.29272778437195,42.059824606331716,44.43563105792873,48.28110567970198,51.93806410287239,55.05940460982307,58.417488464301094,60.774679446079844,66.54647411356096,77.05258035766286,51.701407532414706,5.704735616022906,-0.026680727815377593,0.8175985254574436
domain,A1::stackexchange,10000,28.397828371447197,47.37096604620913,51.64163519699974,53.87420119876658,57.49555573290261,61.41051031003891,65.22006507354743,68.85580162406545,71.28923465164962,75.66435797347361,81.9940852852127,61.387873335966596,5.9646170002418675,-0.06328076998091828,0.4015480336913795
domain,A1::wikipedia,10000,30.106036887151696,43.85638245053634,49.76402478829936,52.35956121992457,56.07518907482385,60.818230990289926,65.96045939353644,70.72655723964745,73.93115676057218,78.04630115484217,83.13530080273875,61.10090692042492,7.301006700973401,0.06638684856893047,-0.0013064296337854664
domain,A1::arxiv,1419,41.06935486764393,49.08244323662554,55.007817370421634,56.90617448253212,59.75200720249893,64.40565373434062,68.04638526492904,70.65144326497406,72.18174505500251,75.20791933888181,78.58531098502816,63.862359595226806,5.602849485122005,-0.3325070815382569,0.08849745431897338
domain,A1::book,171,44.25945551315112,46.89204077938114,48.960046701209315,49.5981638032336,52.4968547489501,55.47767573925225,59.99017973445196,62.38752966995928,63.31743856773738,67.14160689643045,68.97612838601756,56.03252048079162,4.793530056477265,0.18408955026786544,-0.5033403777989585
domain,A1::c4,10000,37.60122562681951,44.519548228319984,49.77179850915445,53.62534555794227,60.33942223789336,66.9112271907652,72.409773454392,76.61733129535106,79.12374939486153,83.57873829658715,88.69887391735354,66.00211266187863,8.824631375338626,-0.38090562831006974,-0.2269425337183124
domain,A1::commoncrawl,9640,29.205628818006964,44.998443302801306,51.06656792496192,54.696296549653916,60.0202414101807,65.08416242550962,69.35792721204291,72.90631608793123,74.96470287838325,79.08553109991117,85.27039583907421,64.33570995356355,7.224190253595176,-0.5068463950806318,0.39644762532092814
domain,A1::github,10000,24.011690186016324,37.29272778437195,42.059824606331716,44.43563105792873,48.28110567970198,51.93806410287239,55.05940460982307,58.417488464301094,60.774679446079844,66.54647411356096,77.05258035766286,51.701407532414706,5.704735616022906,-0.026680727815377593,0.8175985254574436
domain,A1::stackexchange,10000,28.397828371447197,47.37096604620913,51.64163519699974,53.87420119876658,57.49555573290261,61.41051031003891,65.22006507354743,68.85580162406545,71.28923465164962,75.66435797347361,81.9940852852127,61.387873335966596,5.9646170002418675,-0.06328076998091828,0.4015480336913795
domain,A1::wikipedia,10000,30.106036887151696,43.85638245053634,49.76402478829936,52.35956121992457,56.07518907482385,60.818230990289926,65.96045939353644,70.72655723964745,73.93115676057218,78.04630115484217,83.13530080273875,61.10090692042492,7.301006700973401,0.06638684856893047,-0.0013064296337854664
domain,A1::arxiv,1419,41.06935486764393,49.08244323662554,55.007817370421634,56.90617448253212,59.75200720249893,64.40565373434062,68.04638526492904,70.65144326497406,72.18174505500251,75.20791933888181,78.58531098502816,63.862359595226806,5.602849485122005,-0.3325070815382569,0.08849745431897338
domain,A1::book,171,44.25945551315112,46.89204077938114,48.960046701209315,49.5981638032336,52.4968547489501,55.47767573925225,59.99017973445196,62.38752966995928,63.31743856773738,67.14160689643045,68.97612838601756,56.03252048079162,4.793530056477265,0.18408955026786544,-0.5033403777989585
domain,A1::c4,10000,37.60122562681951,44.519548228319984,49.77179850915445,53.62534555794227,60.33942223789336,66.9112271907652,72.409773454392,76.61733129535106,79.12374939486153,83.57873829658715,88.69887391735354,66.00211266187863,8.824631375338626,-0.38090562831006974,-0.2269425337183124
domain,A1::commoncrawl,9640,29.205628818006964,44.998443302801306,51.06656792496192,54.696296549653916,60.0202414101807,65.08416242550962,69.35792721204291,72.90631608793123,74.96470287838325,79.08553109991117,85.27039583907421,64.33570995356355,7.224190253595176,-0.5068463950806318,0.39644762532092814
domain,A1::github,10000,24.011690186016324,37.29272778437195,42.059824606331716,44.43563105792873,48.28110567970198,51.93806410287239,55.05940460982307,58.417488464301094,60.774679446079844,66.54647411356096,77.05258035766286,51.701407532414706,5.704735616022906,-0.026680727815377593,0.8175985254574436
domain,A1::stackexchange,10000,28.397828371447197,47.37096604620913,51.64163519699974,53.87420119876658,57.49555573290261,61.41051031003891,65.22006507354743,68.85580162406545,71.28923465164962,75.66435797347361,81.9940852852127,61.387873335966596,5.9646170002418675,-0.06328076998091828,0.4015480336913795
domain,A1::wikipedia,10000,30.106036887151696,43.85638245053634,49.76402478829936,52.35956121992457,56.07518907482385,60.818230990289926,65.96045939353644,70.72655723964745,73.93115676057218,78.04630115484217,83.13530080273875,61.10090692042492,7.301006700973401,0.06638684856893047,-0.0013064296337854664
domain,A2::arxiv,16104,39.17442560082366,49.61779446337593,55.063946927178144,56.68285864908631,59.35756843616175,63.70445678470993,67.5992992826872,70.32968288735854,71.88215919070502,74.9351185454949,81.29476600457535,63.47346663843135,5.481186686542794,-0.2118170542430554,-0.0105088630966379
domain,A2::arxiv,16104,39.17442560082366,49.61779446337593,55.063946927178144,56.68285864908631,59.35756843616175,63.70445678470993,67.5992992826872,70.32968288735854,71.88215919070502,74.9351185454949,81.29476600457535,63.47346663843135,5.481186686542794,-0.2118170542430554,-0.0105088630966379
domain,A2::arxiv,16104,39.17442560082366,49.61779446337593,55.063946927178144,56.68285864908631,59.35756843616175,63.70445678470993,67.5992992826872,70.32968288735854,71.88215919070502,74.9351185454949,81.29476600457535,63.47346663843135,5.481186686542794,-0.2118170542430554,-0.0105088630966379
domain,A3::github,193752,20.573683268650814,37.134631628975434,42.123919413635875,44.52120254396215,48.267665322512485,51.868391960986,55.028446186495295,58.44332051295137,60.98811248648196,66.7833095339528,81.56308007816963,51.688687820941105,5.731200575025136,0.0019144109857842195,0.9840634282011806
domain,A3::github,193752,20.573683268650814,37.134631628975434,42.123919413635875,44.52120254396215,48.267665322512485,51.868391960986,55.028446186495295,58.44332051295137,60.98811248648196,66.7833095339528,81.56308007816963,51.688687820941105,5.731200575025136,0.0019144109857842195,0.9840634282011806
domain,A3::github,193752,20.573683268650814,37.134631628975434,42.123919413635875,44.52120254396215,48.267665322512485,51.868391960986,55.028446186495295,58.44332051295137,60.98811248648196,66.7833095339528,81.56308007816963,51.688687820941105,5.731200575025136,0.0019144109857842195,0.9840634282011806
corpus,A1::full,51230,24.011690186016324,41.26975004651191,46.81340994286914,49.84298303599057,54.777393680672795,61.03571637535419,67.07813463037178,72.05338505711273,74.86765942776461,79.8189665019214,88.69887391735354,60.94713054317867,8.594084959489871,-0.0535323769282361,-0.28515591699746423
corpus,A1::fit,40919,24.011690186016324,41.187698736115195,46.77898770621659,49.82969972676466,54.78582017515424,60.99821124698613,67.04174959181073,72.02487225767193,74.82372246381073,79.79083438335451,88.66601014713315,60.92449083814142,8.594554835853446,-0.05982909110513562,-0.2708444880688514
corpus,A1::holdout,10311,27.585948460725074,41.811707322093405,46.92552202696331,49.898608245704565,54.74682605661334,61.18066599874421,67.2116950573668,72.16453980485218,75.03370278309589,79.88160817052164,88.69887391735354,61.036975765797166,8.592048587689218,-0.028510874529816467,-0.34341630141996937
corpus,A2::full,16104,39.17442560082366,49.61779446337593,55.063946927178144,56.68285864908631,59.35756843616175,63.70445678470993,67.5992992826872,70.32968288735854,71.88215919070502,74.9351185454949,81.29476600457535,63.47346663843135,5.481186686542794,-0.2118170542430554,-0.0105088630966379
corpus,A2::overlap_A1,16104,39.17442560082366,49.61779446337593,55.063946927178144,56.68285864908631,59.35756843616175,63.70445678470993,67.5992992826872,70.32968288735854,71.88215919070502,74.9351185454949,81.29476600457535,63.47346663843135,5.481186686542794,-0.2118170542430554,-0.0105088630966379
