Q0,cost_family,Lctx,budget_flops,N_B,D_B,Q,loss,total_cost_flops,base_train_attn_cost_flops,quality_cost_flops,frontier_rank,frontier_count
0.1,exponential,2048,1e+19,0.070542,0.134,0.1,5.272116688402278,6.05875644288e+16,6.05875644288e+16,0.0,1,129
0.1,exponential,2048,1e+19,0.070542,0.134,0.15000000000000002,5.254004316652004,6.144179340522703e+16,6.05875644288e+16,854228976427030.5,2,129
0.1,exponential,2048,1e+19,0.070542,0.134,0.2,5.235891944901732,6.25948819127437e+16,6.05875644288e+16,2007317483943692.8,3,129
0.1,exponential,2048,1e+19,0.070542,0.134,0.25,5.217779573151459,6.415138859052973e+16,6.05875644288e+16,3563824161729724.5,4,129
0.1,exponential,2048,1e+19,0.070542,0.134,0.30000000000000004,5.199667201401185,6.625245283859006e+16,6.05875644288e+16,5664888409790068.0,5,129
0.1,exponential,2048,1e+19,0.070542,0.134,0.35,5.181554829650913,6.908859291911737e+16,6.05875644288e+16,8501028490317366.0,6,129
0.1,exponential,2048,1e+19,0.070542,0.134,0.4,5.16344245790064,7.291698158633646e+16,6.05875644288e+16,1.232941715753647e+16,7,129
0.1,exponential,2048,1e+19,0.070542,0.134,0.45000000000000007,5.145330086150367,7.808476574760632e+16,6.05875644288e+16,1.7497201318806322e+16,8,129
0.1,exponential,2048,1e+19,0.070542,0.134,0.5,5.1272177144000946,8.50605447133482e+16,6.05875644288e+16,2.4472980284548196e+16,9,129
0.1,exponential,2048,1e+19,0.10178819256774098,0.134,0.2,5.125781090542265,8.94318117609575e+16,8.742449427701381e+16,2007317483943692.8,10,129
0.1,exponential,2048,1e+19,0.10178819256774098,0.134,0.25,5.1076687187919925,9.098831843874354e+16,8.742449427701381e+16,3563824161729724.5,11,129
0.1,exponential,2048,1e+19,0.10178819256774098,0.134,0.30000000000000004,5.08955634704172,9.308938268680387e+16,8.742449427701381e+16,5664888409790068.0,12,129
0.1,exponential,2048,1e+19,0.10178819256774098,0.134,0.35,5.071443975291446,9.592552276733117e+16,8.742449427701381e+16,8501028490317366.0,13,129
0.1,exponential,2048,1e+19,0.10178819256774098,0.134,0.4,5.0533316035411735,9.975391143455027e+16,8.742449427701381e+16,1.232941715753647e+16,14,129
0.1,exponential,2048,1e+19,0.10178819256774098,0.134,0.45000000000000007,5.035219231790901,1.0492169559582013e+17,8.742449427701381e+16,1.7497201318806322e+16,15,129
0.1,exponential,2048,1e+19,0.070542,0.23247733687723274,0.1,4.9367043093783645,1.0511369870362074e+17,1.0511369870362074e+17,0.0,16,129
0.1,exponential,2048,1e+19,0.070542,0.23247733687723274,0.15000000000000002,4.918591937628091,1.0659570525230074e+17,1.0511369870362074e+17,1482006548680003.5,17,129
0.1,exponential,2048,1e+19,0.070542,0.23247733687723274,0.2,4.900479565877818,1.0859620484492176e+17,1.0511369870362074e+17,3482506141301022.5,18,129
