candidate_index,mapping_scenario,Q_A_0_100,Q_B_hypothetical_0_1,mapped_mass,unmapped_mass,cost_family,Lctx,budget_flops,N_B,D_B,Q_star,loss,total_cost_flops,quality_cost_flops,quality_cost_share,budget_slack_flops,budget_active,Q_at_fixed_bound,support_status,q_scale_status
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,2048,1e+19,0.25012225129425336,6.23758882820877,0.1,3.395163301880361,1.0000000000000004e+19,0.0,0.0,-4096.0,True,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,2048,1e+22,8.093962068979566,192.75600096259842,0.1,2.4140431656075667,9.999999999999998e+21,0.0,0.0,2097152.0,True,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,2048,1e+24,11.965825000000002,299.89299999999986,0.1,2.347952589064767,2.3000639087744553e+22,0.0,0.0,9.769993609122555e+23,False,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,4096,1e+19,0.24244393537050798,6.048605319435288,0.1,3.4089693057798365,1.0000000000000004e+19,0.0,0.0,-4096.0,True,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,4096,1e+22,7.8454889608884075,186.91603346298277,0.1,2.4192754835370196,1.0000000000000002e+22,0.0,0.0,-2097152.0,True,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,4096,1e+24,11.965825000000002,299.89299999999986,0.1,2.347952589064767,2.4470475235139114e+22,0.0,0.0,9.755295247648608e+23,False,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,8192,1e+19,0.22898787812710078,5.717222706195269,0.1,3.434567037961379,1.0000000000002025e+19,0.0,0.0,-2025472.0,True,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,8192,1e+22,7.410052470377299,176.67549609197602,0.1,2.4289767319230324,1.0000000000000086e+22,0.0,0.0,-85983232.0,True,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,8192,1e+24,11.965825000000002,299.89299999999986,0.1,2.347952589064767,2.741014752992823e+22,0.0,0.0,9.725898524700717e+23,False,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,32768,1e+19,0.1783239395969165,4.467062855108157,0.1,3.5515997981585463,1e+19,0.0,0.0,0.0,True,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,32768,1e+22,5.770566889654044,138.0426328959325,0.1,2.4733308125079394,1e+22,0.0,0.0,0.0,True,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,32768,1e+24,11.965825000000002,299.89299999999986,0.1,2.347952589064767,4.5048181298662946e+22,0.0,0.0,9.54951818701337e+23,False,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,131072,1e+19,0.11096942892653056,2.7973486730981887,0.1,3.797337848918724,1e+19,0.0,0.0,0.0,True,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,131072,1e+22,3.590971437530318,86.44462652023026,0.1,2.5664627294843103,1.0000000000000925e+22,0.0,0.0,-924844032.0,True,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
46,M2_partial_raw,30.929725204939345,0.1,0.511,0.4900000000000001,exponential,131072,1e+24,11.965825000000002,299.89299999999986,0.1,2.347952589064767,1.156003163736018e+23,0.0,0.0,8.843996836263981e+23,False,True,inside_B1_B6_support,HYPOTHETICAL_Q1_0_100_TO_B6_0.1_1.0
