domain,quality_score,density
c4,37.6012256268,0.000203777886706
c4,37.7292899082,0.00022947098049
c4,37.8573541897,0.00025742532021
c4,37.9854184711,0.000287737230423
c4,38.1134827525,0.000320491277509
c4,38.241547034,0.000355755139378
c4,38.3696113154,0.00039357378735
c4,38.4976755968,0.000433963188655
c4,38.6257398783,0.000476903818727
c4,38.7538041597,0.000522334349191
c4,38.8818684411,0.000570145944206
c4,39.0099327225,0.000620177647691
c4,39.137997004,0.000672213369669
c4,39.2660612854,0.000725980974364
c4,39.3941255668,0.000781153929654
c4,39.5221898483,0.000837355893153
c4,39.6502541297,0.00089416848361
c4,39.7783184111,0.000951142320701
c4,39.9063826926,0.0010078112192
c4,40.034446974,0.00106370920686
c4,40.1625112554,0.00111838981487
c4,40.2905755368,0.00117144688336
c4,40.4186398183,0.00122253595092
c4,40.5467040997,0.00127139517341
c4,40.6747683811,0.00131786465738
c4,40.8028326626,0.00136190310588
c4,40.930896944,0.00140360076138
c4,41.0589612254,0.00144318778801
c4,41.1870255069,0.00148103745294
c4,41.3150897883,0.00151766372916
c4,41.4431540697,0.00155371323031
c4,41.5712183511,0.00158995168279
c4,41.6992826326,0.00162724542138
c4,41.827346914,0.00166653864414
c4,41.9554111954,0.00170882736658
c4,42.0834754769,0.00175513116297
c4,42.2115397583,0.00180646386821
c4,42.3396040397,0.00186380443388
c4,42.4676683212,0.00192806908906
c4,42.5957326026,0.00200008585333
c4,42.723796884,0.00208057229539
c4,42.8518611654,0.00217011723367
c4,42.9799254469,0.0022691668501
c4,43.1079897283,0.00237801544717
c4,43.2360540097,0.00249680083822
c4,43.3641182912,0.00262550413811
c4,43.4921825726,0.00276395353054
c4,43.620246854,0.00291183144334
c4,43.7483111355,0.00306868447455
c4,43.8763754169,0.00323393538423
c4,44.0044396983,0.00340689650024
c4,44.1325039797,0.00358678397475
c4,44.2605682612,0.00377273245925
c4,44.3886325426,0.00396380992438
c4,44.516696824,0.00415903251657
c4,44.6447611055,0.00435737949633
c4,44.7728253869,0.0045578084233
c4,44.9008896683,0.00475927082409
c4,45.0289539498,0.00496072858801
c4,45.1570182312,0.00516117127719
c4,45.2850825126,0.0053596344112
c4,45.413146794,0.00555521860104
c4,45.5412110755,0.00574710917697
c4,45.6692753569,0.00593459570294
c4,45.7973396383,0.00611709052331
c4,45.9254039198,0.00629414527807
c4,46.0534682012,0.00646546418195
c4,46.1815324826,0.00663091282272
c4,46.3095967641,0.00679052131697
c4,46.4376610455,0.00694448088382
c4,46.5657253269,0.00709313325683
c4,46.6937896083,0.00723695283648
c4,46.8218538898,0.00737652205664
c4,46.9499181712,0.00751250104678
c4,47.0779824526,0.00764559325816
c4,47.2060467341,0.00777650921558
c4,47.3341110155,0.00790593089402
c4,47.4621752969,0.00803447934456
c4,47.5902395784,0.00816268807314
c4,47.7183038598,0.0082909843002
c4,47.8463681412,0.00841967962048
c4,47.9744324226,0.00854897079128
c4,48.1024967041,0.00867895048167
c4,48.2305609855,0.00880962690519
c4,48.3586252669,0.00894095043565
c4,48.4866895484,0.00907284465759
c4,48.6147538298,0.00920523890564
c4,48.7428181112,0.00933809924192
c4,48.8708823927,0.00947145501892
c4,48.9989466741,0.00960541865252
c4,49.1270109555,0.009740196928
c4,49.2550752369,0.00987609300301
c4,49.3831395184,0.0100134991606
c4,49.5112037998,0.0101528812108
c4,49.6392680812,0.0102947561542
c4,49.7673323627,0.0104396652462
c4,49.8953966441,0.0105881448907
c4,50.0234609255,0.0107406978447
c4,50.151525207,0.0108977670354
c4,50.2795894884,0.0110597139269
c4,50.4076537698,0.0112268028659
c4,50.5357180512,0.0113991922471
c4,50.6637823327,0.0115769327296
c4,50.7918466141,0.0117599721527
c4,50.9199108955,0.0119481662874
c4,51.047975177,0.0121412941502
c4,51.1760394584,0.0123390763118
c4,51.3041037398,0.0125411944714
c4,51.4321680212,0.0127473105261
c4,51.5602323027,0.012957083454
c4,51.6882965841,0.013170182524
c4,51.8163608655,0.0133862956497
c4,51.944425147,0.013605132092
c4,52.0724894284,0.013826419182
c4,52.2005537098,0.0140498932501
c4,52.3286179913,0.0142752854904
c4,52.4566822727,0.0145023040288
c4,52.5847465541,0.0147306139537
c4,52.7128108355,0.0149598174747
c4,52.840875117,0.0151894366428
c4,52.9689393984,0.0154189011603
c4,53.0970036798,0.0156475436855
c4,53.2250679613,0.0158746046826
c4,53.3531322427,0.016099248269
c4,53.4811965241,0.0163205896987
c4,53.6092608056,0.0165377341306
c4,53.737325087,0.0167498252358
c4,53.8653893684,0.0169561010932
c4,53.9934536498,0.0171559538133
c4,54.1215179313,0.0173489885225
c4,54.2495822127,0.0175350768545
c4,54.3776464941,0.0177143999967
c4,54.5057107756,0.0178874767089
c4,54.633775057,0.0180551725541
c4,54.7618393384,0.0182186878464
c4,54.8899036199,0.018379523424
c4,55.0179679013,0.0185394251744
c4,55.1460321827,0.0187003101008
c4,55.2740964641,0.0188641784416
c4,55.4021607456,0.0190330177447
c4,55.530225027,0.0192087057059
c4,55.6582893084,0.0193929188736
c4,55.7863535899,0.0195870539567
c4,55.9144178713,0.0197921674656
c4,56.0424821527,0.0200089378484
c4,56.1705464342,0.0202376523293
c4,56.2986107156,0.0204782185052
c4,56.426674997,0.0207301986478
c4,56.5547392784,0.020992862812
c4,56.6828035599,0.0212652554619
c4,56.8108678413,0.0215462695241
c4,56.9389321227,0.0218347216278
c4,57.0669964042,0.022129422768
c4,57.1950606856,0.0224292396336
c4,57.323124967,0.0227331432282
c4,57.4511892485,0.023040242968
c4,57.5792535299,0.0233498059798
c4,57.7073178113,0.023661262643
c4,57.8353820927,0.0239742003989
c4,57.9634463742,0.0242883483931
c4,58.0915106556,0.0246035556318
c4,58.219574937,0.0249197650645
c4,58.3476392185,0.0252369854868
c4,58.4757034999,0.02555526252
c4,58.6037677813,0.0258746493413
c4,58.7318320628,0.0261951774424
c4,58.8598963442,0.0265168275846
c4,58.9879606256,0.0268395013341
c4,59.116024907,0.0271629940688
c4,59.2440891885,0.0274869710546
c4,59.3721534699,0.0278109489397
c4,59.5002177513,0.0281342856387
c4,59.6282820328,0.0284561818813
c4,59.7563463142,0.0287756975404
c4,59.8844105956,0.0290917851318
c4,60.0124748771,0.0294033415758
c4,60.1405391585,0.0297092775132
c4,60.2686034399,0.0300086013313
c4,60.3966677213,0.0303005128283
c4,60.5247320028,0.0305844994089
c4,60.6527962842,0.0308604261607
c4,60.7808605656,0.0311286103757
c4,60.9089248471,0.031389871249
c4,61.0369891285,0.0316455467044
c4,61.1650534099,0.031897471528
c4,61.2931176914,0.0321479140828
c4,61.4211819728,0.032399472548
c4,61.5492462542,0.0326549355222
c4,61.6773105356,0.0329171155245
c4,61.8053748171,0.0331886670241
c4,61.9334390985,0.03347190276
c4,62.0615033799,0.0337686230104
c4,62.1895676614,0.0340799720027
c4,62.3176319428,0.0344063338209
c4,62.4456962242,0.034747277134
c4,62.5737605057,0.0351015541075
c4,62.7018247871,0.0354671543665
c4,62.8298890685,0.0358414102872
c4,62.9579533499,0.036221145648
c4,63.0860176314,0.0366028561772
c4,63.2140819128,0.0369829081068
c4,63.3421461942,0.0373577396913
c4,63.4702104757,0.0377240508345
c4,63.5982747571,0.0380789674355
c4,63.7263390385,0.0384201696221
c4,63.85440332,0.0387459764077
c4,63.9824676014,0.0390553831488
c4,64.1105318828,0.0393480521221
c4,64.2385961642,0.039624260237
c4,64.3666604457,0.0398848110466
c4,64.4947247271,0.0401309205815
c4,64.6227890085,0.0403640879654
c4,64.75085329,0.0405859622156
c4,64.8789175714,0.0407982161226
c4,65.0069818528,0.0410024367415
c4,65.1350461343,0.0412000399744
c4,65.2631104157,0.0413922141918
c4,65.3911746971,0.0415798950403
c4,65.5192389785,0.0417637707558
c4,65.64730326,0.0419443146585
c4,65.7753675414,0.0421218392425
c4,65.9034318228,0.042296564553
c4,66.0314961043,0.0424686924885
c4,66.1595603857,0.0426384783435
c4,66.2876246671,0.0428062913442
c4,66.4156889485,0.0429726570774
c4,66.54375323,0.0431382764886
c4,66.6718175114,0.0433040183738
c4,66.7998817928,0.0434708848191
c4,66.9279460743,0.0436399516357
c4,67.0560103557,0.0438122882543
c4,67.1840746371,0.043988863559
c4,67.3121389186,0.0441704455646
c4,67.4402032,0.044357503533
c4,67.5682674814,0.0445501210207
c4,67.6963317628,0.0447479274571
c4,67.8243960443,0.044950054287
c4,67.9524603257,0.0451551196198
c4,68.0805246071,0.0453612429532
c4,68.2085888886,0.0455660891261
c4,68.33665317,0.0457669384405
c4,68.4647174514,0.0459607781025
c4,68.5927817329,0.0461444089036
c4,68.7208460143,0.0463145604715
c4,68.8489102957,0.046468008456
c4,68.9769745771,0.0466016875897
c4,69.1050388586,0.0467127955252
c4,69.23310314,0.0467988835345
c4,69.3611674214,0.0468579313669
