indicator,c4,commoncrawl,arxiv,stackexchange,wikipedia,book,github
fineweb_edu,0.332205757878,0.424087293563,0.656717581439,0.47384515552,0.366679013734,0.440841475668,0.345979931444
fluency_en_fluent_margin,0.709129126486,0.664276424359,0.784291775564,0.5173668305,0.487995169667,0.496744534032,0.35194439728
modernbert_cleanliness_expected,0.752532145369,0.745996649807,0.990527956739,0.785520703486,0.693617965263,0.826589308438,0.263635707608
modernbert_readability_expected,0.687254152936,0.868280096921,0.929344628719,0.654517281675,0.747721996082,0.867315928032,0.463054411358
dsir_books,0.972759855642,0.935157975702,0.361575849801,0.955107215745,0.964274930083,0.287239911067,0.920050792838
dsir_wiki,0.973456292701,0.938005097364,0.393101049444,0.957008671523,0.966866945543,0.165878406914,0.924700303968
dsir_math,0.96350688425,0.911330724375,0.423917267915,0.947564938219,0.953645735544,0.0801188987116,0.90908032975
qurater_writing_style,0.544570387891,0.532595091557,0.735996591917,0.249890669241,0.368091796642,0.69412045737,0.21583400684
qurater_facts_trivia,0.450241156332,0.54648495472,0.661693464298,0.308637295893,0.515743109633,0.352743368979,0.251258245169
qurater_educational_value,0.460591364999,0.480315485809,0.800943316276,0.57912932574,0.311401354756,0.483091612545,0.380113082157
ad_en_no_ad_margin,0.540030546539,0.619103809796,0.830294815936,0.811026584274,0.778769270164,0.649041921801,0.735827893085
rps_doc_frac_unique_words,0.523547640663,0.374046538964,0.0958110232436,0.458519920398,0.54558536369,0.0189825514533,0.519542729693
rps_doc_frac_no_alph_words,0.951346411926,0.944820588319,0.833863542023,0.82872974897,0.80393896802,0.920602652182,0.774880648016
rps_doc_frac_chars_top_2gram,0.83655176877,0.88465352263,0.944703448623,0.834804175306,0.763278573795,0.961951056644,0.825170515417
rps_doc_frac_chars_top_3gram,0.862614059041,0.891728166879,0.955379636882,0.827728860991,0.849615828201,0.985085751186,0.850563170138
rps_lines_ending_with_terminal_punctution_mark,1,0.513752097603,0.347075355386,0.473407482597,0.514082407,0.745093147104,0.242839475611
