source_row_dataset,source_row_index,quality_axis,N_params_B,D_tokens_B,Q_A,Q_B_assumed,p_effect_centered,Q_effect_centered,scenario_variant,predicted_loss,observed_joint_row,interpretation
A10_A11_test_1b,0,Q_A_topsis_0_1,0.070542,0.134,0.618984600433442,0.8257522034911179,0.17145794836372996,-0.09982099782174801,scale_only,4.020063102631266,False,model_based_scenario
A10_A11_test_1b,0,Q_A_topsis_0_1,0.070542,0.134,0.618984600433442,0.8257522034911179,0.17145794836372996,-0.09982099782174801,scale_plus_Q,3.9202421048095175,False,model_based_scenario
A10_A11_test_1b,0,Q_A_topsis_0_1,0.070542,0.134,0.618984600433442,0.8257522034911179,0.17145794836372996,-0.09982099782174801,scale_plus_p,4.191521050994996,False,model_based_scenario
A10_A11_test_1b,0,Q_A_topsis_0_1,0.070542,0.134,0.618984600433442,0.8257522034911179,0.17145794836372996,-0.09982099782174801,scale_plus_Q_plus_p,4.0917000531732475,False,model_based_scenario
A10_A11_test_1b,0,Q_A_topsis_0_1,0.070542,69.206,0.618984600433442,0.8257522034911179,0.17145794836372996,-0.09982099782174801,scale_only,2.9046534804848188,False,model_based_scenario
A10_A11_test_1b,0,Q_A_topsis_0_1,0.070542,69.206,0.618984600433442,0.8257522034911179,0.17145794836372996,-0.09982099782174801,scale_plus_Q,2.8048324826630706,False,model_based_scenario
A10_A11_test_1b,0,Q_A_topsis_0_1,0.070542,69.206,0.618984600433442,0.8257522034911179,0.17145794836372996,-0.09982099782174801,scale_plus_p,3.0761114288485487,False,model_based_scenario
A10_A11_test_1b,0,Q_A_topsis_0_1,0.070542,69.206,0.618984600433442,0.8257522034911179,0.17145794836372996,-0.09982099782174801,scale_plus_Q_plus_p,2.9762904310268006,False,model_based_scenario
A10_A11_test_1b,0,Q_A_topsis_0_1,0.070542,146.801,0.618984600433442,0.8257522034911179,0.17145794836372996,-0.09982099782174801,scale_only,2.770384730803025,False,model_based_scenario
A10_A11_test_1b,0,Q_A_topsis_0_1,0.070542,146.801,0.618984600433442,0.8257522034911179,0.17145794836372996,-0.09982099782174801,scale_plus_Q,2.670563732981277,False,model_based_scenario
