N_params_B,D_tokens_B,scale_loss,dL_dlogN,dL_dlogD,loss_elasticity_N,loss_elasticity_D,N_in_B1_range,D_in_B1_range,joint_B1_range,N_extrapolation_factor,D_extrapolation_factor,observed_joint_row
0.1,0.1,4.826870824491312,-0.26327201866437466,-0.6612653836932658,-0.05454300068038801,-0.13699670194985059,True,False,False,0.7054199999999999,1.34,False
0.1,1.0,3.7044859501222813,-0.26327201866437466,-0.3471344055473152,-0.07106843492163449,-0.09370649807319599,True,True,True,0.7054199999999999,0.134,False
0.1,10.0,3.1152846766739195,-0.26327201866437466,-0.18222985579808304,-0.08450977871642247,-0.05849541043955042,True,True,True,0.7054199999999999,0.03334522646410554,False
0.1,100.0,2.805980668253161,-0.26327201866437466,-0.09566242876972288,-0.09382531449451231,-0.03409233351179026,True,True,True,0.7054199999999999,0.3334522646410553,False
0.1,1000.0,2.643610059199253,-0.26327201866437466,-0.05021844657695532,-0.09958806812231587,-0.018996162615664444,True,False,False,0.7054199999999999,3.3345226464105533,False
0.1,10000.0,2.5583728363803595,-0.26327201866437466,-0.02636241217200512,-0.1029060404803459,-0.010304366821414201,True,False,False,0.7054199999999999,33.34522646410554,False
0.1,36000.0,2.52999451734863,-0.26327201866437466,-0.018419941350143403,-0.10406031193311717,-0.007280625006826905,True,False,False,0.7054199999999999,120.04281527077993,False
1.0,0.1,4.4064683415040955,-0.12034501947858552,-0.6612653836932658,-0.027310991513332234,-0.15006697709929553,True,False,False,0.08357133753836446,1.34,False
1.0,1.0,3.2840834671350643,-0.12034501947858552,-0.3471344055473152,-0.03664493326156868,-0.10570206543810678,True,True,True,0.08357133753836446,0.134,False
1.0,10.0,2.6948821936867025,-0.12034501947858552,-0.18222985579808304,-0.044656875822074026,-0.06762071315213435,True,True,True,0.08357133753836446,0.03334522646410554,False
1.0,100.0,2.3855781852659437,-0.12034501947858552,-0.09566242876972288,-0.05044689804001099,-0.040100311681488005,True,True,True,0.08357133753836446,0.3334522646410553,False
1.0,1000.0,2.223207576212036,-0.12034501947858552,-0.05021844657695532,-0.0541312564630752,-0.02258828510404725,True,False,False,0.08357133753836446,3.3345226464105533,False
1.0,10000.0,2.1379703533931425,-0.12034501947858552,-0.02636241217200512,-0.05628937711301171,-0.012330578920407249,True,False,False,0.08357133753836446,33.34522646410554,False
1.0,36000.0,2.109592034361413,-0.12034501947858552,-0.018419941350143403,-0.05704658413493428,-0.008731518250977486,True,False,False,0.08357133753836446,120.04281527077993,False
10.0,0.1,4.214296969625643,-0.055011253329448194,-0.6612653836932658,-0.01305348287648909,-0.1569100109601451,True,False,False,0.8357133753836447,1.34,False
10.0,1.0,3.091912095256612,-0.055011253329448194,-0.3471344055473152,-0.017791984905988264,-0.11227175768672844,True,True,True,0.8357133753836447,0.134,False
10.0,10.0,2.5027108218082503,-0.055011253329448194,-0.18222985579808304,-0.021980667063125434,-0.07281298910371871,True,True,True,0.8357133753836447,0.03334522646410554,False
10.0,100.0,2.1934068133874915,-0.055011253329448194,-0.09566242876972288,-0.025080278311203456,-0.04361362798084049,True,True,True,0.8357133753836447,0.3334522646410553,False
10.0,1000.0,2.0310362043335832,-0.055011253329448194,-0.05021844657695532,-0.027085313994931123,-0.02472552998799587,True,False,False,0.8357133753836447,3.3345226464105533,False
10.0,10000.0,1.94579898151469,-0.055011253329448194,-0.02636241217200512,-0.028271807032515337,-0.013548373918606707,True,False,False,0.8357133753836447,33.34522646410554,False
