indicator,fineweb_edu,fluency_en_fluent_margin,modernbert_cleanliness_expected,modernbert_readability_expected,dsir_books,dsir_wiki,dsir_math,qurater_writing_style,qurater_facts_trivia,qurater_educational_value,ad_en_no_ad_margin,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_ending_with_terminal_punctution_mark
fineweb_edu,1,0.27762109066466878,0.30388230225976276,0.3306979650790261,-0.20450234746178098,-0.19586744343866791,-0.19799455160424737,0.24046737588676559,0.41192979921000927,0.61168989381881256,0.20456553964924717,-0.39224513912379605,0.075191898610567992,0.15593391284066238,0.059133525405889904,-0.069178161931711266
fluency_en_fluent_margin,0.27762109066466878,1,0.53307338450071429,0.52090801241220797,-0.024977584354235083,-0.023301392597602479,-0.010447343711088467,0.60669239547518672,0.55829748496747023,0.47548965580042757,0.099609004808777907,-0.16022182999225351,0.41321841829095202,0.087544871286709958,0.076117465772410312,0.3764531869818854
modernbert_cleanliness_expected,0.30388230225976276,0.53307338450071429,1,0.61811048658089918,-0.059898569047790937,-0.06171620283326601,-0.055226596411774451,0.53570429305174139,0.4730379077499654,0.44506870050537362,0.051067798840084382,-0.23724506241332435,0.18158968564232489,0.19876077488255101,0.16091986812786141,0.41299753088800073
modernbert_readability_expected,0.33069796507902605,0.52090801241220797,0.61811048658089907,1,-0.092253222835418272,-0.090842265277690654,-0.09924948122458227,0.55625102401452853,0.57696468732645645,0.41955331054148848,-0.020553431000737792,-0.32475465961598632,0.1998876963679409,0.17033837925730558,0.095343216247741558,0.14480948529107251
dsir_books,-0.20450234746178098,-0.024977584354235086,-0.059898569047790937,-0.092253222835418272,1,0.99480439977746626,0.97812908273346477,-0.14759402160854865,-0.073132856395711945,-0.17745950085865478,-0.048633704201223808,0.55393256551585479,0.096707353767699483,-0.16035983982668944,-0.10411440243584694,0.19619678741501501
dsir_wiki,-0.19586744343866794,-0.023301392597602479,-0.061716202833266003,-0.09084226527769064,0.99480439977746626,1,0.98496101895778043,-0.15068532738172027,-0.06558583205262683,-0.1729448119572296,-0.044754585967125546,0.5499907117280749,0.09061479177653646,-0.16033211922984766,-0.10559029753359508,0.18248096178437292
dsir_math,-0.19799455160424737,-0.010447343711088467,-0.055226596411774451,-0.099249481224582256,0.97812908273346477,0.98496101895778032,1,-0.14864349838305257,-0.066772463374112134,-0.15674552362555566,-0.022797676268693497,0.59496737136377564,0.085131900172164002,-0.17651920116572692,-0.11397164667736531,0.18382291099922157
qurater_writing_style,0.24046737588676562,0.60669239547518672,0.53570429305174139,0.55625102401452853,-0.14759402160854862,-0.15068532738172027,-0.14864349838305257,1,0.59639202451806461,0.48694777007998674,-0.20003250258074731,-0.20046988777253025,0.35577179817311388,0.25085406720556241,0.21965827909278796,0.40678645470189134
qurater_facts_trivia,0.41192979921000927,0.55829748496747023,0.4730379077499654,0.57696468732645645,-0.073132856395711959,-0.065585832052626844,-0.066772463374112134,0.59639202451806461,1,0.47070793837678104,0.068371711027600313,-0.17615917547095464,0.29332095713436773,0.093161208203855164,0.12908060836753099,0.23086530732179472
qurater_educational_value,0.61168989381881245,0.47548965580042757,0.44506870050537362,0.41955331054148842,-0.17745950085865478,-0.1729448119572296,-0.15674552362555566,0.48694777007998669,0.4707079383767811,1,0.12520728504017328,-0.31317861192924051,0.18963456882788685,0.19023321306693833,0.10107517052933263,0.098876608590968099
ad_en_no_ad_margin,0.20456553964924715,0.099609004808777907,0.051067798840084389,-0.020553431000737789,-0.048633704201223808,-0.044754585967125546,-0.022797676268693501,-0.20003250258074728,0.068371711027600313,0.12520728504017328,1,0.049274849750208641,-0.093619605501895811,-0.094331856397857489,-0.036850561588185962,-0.28207336769949015
rps_doc_frac_unique_words,-0.39224513912379605,-0.16022182999225354,-0.23724506241332435,-0.32475465961598626,0.55393256551585479,0.5499907117280749,0.59496737136377564,-0.20046988777253025,-0.17615917547095461,-0.31317861192924051,0.049274849750208648,1,-0.072282694803971884,-0.1101142542539138,0.063317215084912712,0.089677510040534175
rps_doc_frac_no_alph_words,0.075191898610568006,0.41321841829095202,0.18158968564232486,0.1998876963679409,0.096707353767699483,0.09061479177653646,0.085131900172164002,0.35577179817311394,0.29332095713436768,0.18963456882788682,-0.093619605501895811,-0.072282694803971884,1,0.037332360770012382,0.053698628793315412,0.33255575666311132
rps_doc_frac_chars_top_2gram,0.15593391284066238,0.087544871286709944,0.19876077488255101,0.17033837925730561,-0.16035983982668944,-0.16033211922984766,-0.17651920116572695,0.25085406720556241,0.093161208203855164,0.19023321306693833,-0.094331856397857475,-0.11011425425391382,0.037332360770012382,1,0.53853211514289323,0.044732530595445817
rps_doc_frac_chars_top_3gram,0.059133525405889911,0.076117465772410312,0.16091986812786141,0.095343216247741544,-0.10411440243584694,-0.10559029753359508,-0.11397164667736533,0.21965827909278793,0.12908060836753099,0.10107517052933264,-0.036850561588185962,0.063317215084912698,0.053698628793315405,0.53853211514289323,1,0.064095307709073332
rps_lines_ending_with_terminal_punctution_mark,-0.069178161931711266,0.3764531869818854,0.41299753088800079,0.14480948529107249,0.19619678741501501,0.1824809617843729,0.18382291099922154,0.4067864547018914,0.23086530732179472,0.098876608590968099,-0.28207336769949015,0.089677510040534175,0.33255575666311132,0.044732530595445817,0.064095307709073332,1
