scenario_id,target_mixture_domain,target_quality_domain,lambda,dataset,role,loss_observed,index,baseline_q_0_100,scenario_q_0_100,delta_q_0_100,baseline_q_low_0_100,baseline_q_high_0_100,target_anchor_q_0_100
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,1,62.5899769188895,62.71721518652323,0.1272382676337287,62.56713059586314,62.598449952320884,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,2,59.07136541233329,59.550464830622644,0.4790994182893513,58.494818741433434,59.452914746831574,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,3,63.957992906318374,63.94842957520922,-0.009563331109156081,63.830890143210794,64.01241165881956,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,4,57.577216834293225,58.20573111038658,0.6285142760933553,56.32234151689883,58.76738380675164,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,5,61.091788065019195,61.36884521803996,0.2770571530207633,60.48983693106821,61.50224490015969,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,6,60.584720752410966,60.91248463669255,0.32776388428158043,59.99101663594656,60.99324588115838,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,7,62.140626753825245,62.3128000379654,0.17217328414015753,59.64454726025998,64.16583417005786,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,8,61.33355503550059,61.58643549147321,0.25288045597262254,59.369968802067135,64.30035131862691,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,9,63.350634604573074,63.40180710363845,0.051172499065373245,61.10090692042493,64.32600554446415,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,10,61.83845788066242,62.040848052118854,0.202390171456436,61.14571324773014,62.13879777890371,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,11,59.33406197395692,59.78689173608391,0.45282976212698856,56.284107476714226,64.1147598981793,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,12,59.62533670628627,60.049038995180325,0.4237022888940558,57.17068931376651,62.89446322630519,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,13,63.48035150628131,63.51855231517586,0.03820080889455113,61.58623150368282,64.33570995356357,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,14,61.611452398137374,61.83654311784632,0.22509071970894468,59.87681102674002,62.54195999906214,63.862359595226806
toward_arxiv_lambda_01,arxiv,arxiv,0.1,A4_A5_train_1m,train,True,15,60.63985637368572,60.96210669583983,0.32225032215411176,59.700206595624095,61.248665693650075,63.862359595226806
