dataset,role,scale,loss_observed,index,mixture_domain,proportion_raw,proportion_normalized,mapping_type_A16,mapping_status,q_soft_0_100,q_low_0_100,q_high_0_100,weighted_soft_contribution_0_100
A4_A5_train_1m,train,1m,True,1,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,2,arxiv,0.025,0.025050100200400802,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,1.599758506894459
A4_A5_train_1m,train,1m,True,3,arxiv,0.679,0.679,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,43.362542165159006
A4_A5_train_1m,train,1m,True,4,arxiv,0.008,0.007992007992007994,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.510388488273541
A4_A5_train_1m,train,1m,True,5,arxiv,0.193,0.19280719280719283,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,12.313122279599176
A4_A5_train_1m,train,1m,True,6,arxiv,0.506,0.5065065065065065,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,32.34670065584061
A4_A5_train_1m,train,1m,True,7,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,8,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,9,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,10,arxiv,0.006,0.006,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.38317415757136086
A4_A5_train_1m,train,1m,True,11,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,12,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,13,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,14,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,15,arxiv,0.003,0.003006012024048096,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.19197102082733508
A4_A5_train_1m,train,1m,True,16,arxiv,0.094,0.094,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,6.00306180195132
A4_A5_train_1m,train,1m,True,17,arxiv,0.533,0.5335335335335335,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,34.07271037463052
A4_A5_train_1m,train,1m,True,18,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,19,arxiv,0.156,0.15615615615615616,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,9.972500597452836
A4_A5_train_1m,train,1m,True,20,arxiv,0.001,0.001,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0638623595952268
A4_A5_train_1m,train,1m,True,21,arxiv,0.739,0.7382617382617381,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,47.14713660426833
A4_A5_train_1m,train,1m,True,22,arxiv,0.004,0.004,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.2554494383809072
A4_A5_train_1m,train,1m,True,23,arxiv,0.002,0.002,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.1277247191904536
A4_A5_train_1m,train,1m,True,24,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,25,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,26,arxiv,0.377,0.3773773773773773,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,24.100209777177678
A4_A5_train_1m,train,1m,True,27,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
A4_A5_train_1m,train,1m,True,28,arxiv,0.013,0.013013013013013013,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.8310417164544028
A4_A5_train_1m,train,1m,True,29,arxiv,0.002,0.001998001998001998,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.12759712206838522
A4_A5_train_1m,train,1m,True,30,arxiv,0.0,0.0,direct,official_candidate,63.862359595226806,63.862359595226806,63.862359595226806,0.0
