dataset_x,scale,index,model,loss_mean_observed,loss_mean_pred,abs_error_mean,dataset_key,dataset_y,nearest_train_aitchison
train,1m,1,M1_Q_proxy_scale_p,5.904635429382324,5.4030507320594685,0.5015846973228557,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,2,M1_Q_proxy_scale_p,5.133344430189866,5.127337970775908,0.006006459413957721,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,3,M1_Q_proxy_scale_p,5.542253035765428,5.536228473143619,0.006024562621808727,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,4,M1_Q_proxy_scale_p,5.290134576650766,5.442178815850432,0.15204423919966548,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,5,M1_Q_proxy_scale_p,4.9657532618596,5.324420686976599,0.358667425116999,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,6,M1_Q_proxy_scale_p,5.358781594496507,5.398617780138001,0.03983618564149438,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,7,M1_Q_proxy_scale_p,5.058426526876596,5.35647366681251,0.2980471399359139,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,8,M1_Q_proxy_scale_p,5.898907331319956,5.471421887954629,0.42748544336532657,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,9,M1_Q_proxy_scale_p,6.21538573044997,5.4905462756256815,0.7248394548242887,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,10,M1_Q_proxy_scale_p,5.393702800457294,5.447441125762766,0.05373832530547151,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,11,M1_Q_proxy_scale_p,6.063049664864173,5.633689485005215,0.4293601798589579,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,12,M1_Q_proxy_scale_p,5.737708825331468,5.39958410061206,0.3381247247194077,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,13,M1_Q_proxy_scale_p,5.631498850308931,5.495542674282575,0.13595617602635635,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,14,M1_Q_proxy_scale_p,4.817876852475679,5.044904207486474,0.22702735501079463,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,15,M1_Q_proxy_scale_p,4.961122586176946,5.309620950869294,0.3484983646923485,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,16,M1_Q_proxy_scale_p,4.79795071711907,4.993317374295709,0.19536665717663926,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,17,M1_Q_proxy_scale_p,5.027804338015043,5.447817039474391,0.4200127014593482,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,18,M1_Q_proxy_scale_p,4.846522661355825,5.17396505218968,0.3274423908338546,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,19,M1_Q_proxy_scale_p,4.862268686294556,5.272832561692054,0.4105638753974983,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,20,M1_Q_proxy_scale_p,5.18797335257897,5.336039609905266,0.1480662573262963,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,21,M1_Q_proxy_scale_p,5.312407071773823,5.363275583804548,0.050868512030724844,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,22,M1_Q_proxy_scale_p,5.267660049291758,5.21800882142201,0.04965122786974785,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,23,M1_Q_proxy_scale_p,5.236186431004451,5.199039221981592,0.03714720902285862,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,24,M1_Q_proxy_scale_p,6.004401573768029,5.559371165158392,0.44503040860963683,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,25,M1_Q_proxy_scale_p,5.220030491168682,5.371870590280521,0.1518400991118387,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,26,M1_Q_proxy_scale_p,5.404111513724694,5.498937908337599,0.09482639461290443,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,27,M1_Q_proxy_scale_p,4.946193236571092,5.312801033024235,0.36660779645314356,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,28,M1_Q_proxy_scale_p,5.129373101087717,5.093943932028546,0.03542916905917082,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,29,M1_Q_proxy_scale_p,6.132923419658955,5.370318198747115,0.7626052209118397,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,30,M1_Q_proxy_scale_p,5.525556601010836,5.398163470559679,0.12739313045115708,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,31,M1_Q_proxy_scale_p,5.268221598405105,5.321467956291239,0.05324635788613463,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,32,M1_Q_proxy_scale_p,6.351518722680899,5.649330795469319,0.7021879272115799,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,33,M1_Q_proxy_scale_p,5.77667471078726,5.426777220161755,0.349897490625505,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,34,M1_Q_proxy_scale_p,5.556892028221717,5.434351202280819,0.12254082594089777,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,35,M1_Q_proxy_scale_p,5.203048513485835,5.145221822446851,0.057826691038983746,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,36,M1_Q_proxy_scale_p,5.13854692532466,5.346106545534948,0.2075596202102874,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,37,M1_Q_proxy_scale_p,4.969163656234741,5.255748143507513,0.28658448727277186,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,38,M1_Q_proxy_scale_p,5.545954630925105,5.405816269036898,0.14013836188820683,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,39,M1_Q_proxy_scale_p,4.993031996947068,5.226265974298635,0.23323397735156703,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,40,M1_Q_proxy_scale_p,5.374926933875451,5.577138736489764,0.20221180261431293,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,41,M1_Q_proxy_scale_p,5.1798697618337775,5.470791015787759,0.2909212539539814,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,42,M1_Q_proxy_scale_p,5.084016616527851,5.19231448177254,0.10829786524468865,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,43,M1_Q_proxy_scale_p,5.076522203592154,5.237217906059727,0.16069570246757348,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,44,M1_Q_proxy_scale_p,5.084354584033672,5.419051066459828,0.334696482426156,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,45,M1_Q_proxy_scale_p,5.588743741695698,5.524902670139446,0.06384107155625163,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,46,M1_Q_proxy_scale_p,4.864920946267935,5.317238630905065,0.45231768463712996,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,47,M1_Q_proxy_scale_p,5.89624966107882,5.302694330895463,0.5935553301833574,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,48,M1_Q_proxy_scale_p,5.411233351780818,5.4273288518814375,0.016095500100619553,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,49,M1_Q_proxy_scale_p,5.7741538011110745,5.5601375376532,0.21401626345787417,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,50,M1_Q_proxy_scale_p,5.143856727159941,5.22378529932638,0.07992857216643934,A4_A5_train_1m,A4_A5_train_1m,0.0
train,1m,51,M1_Q_proxy_scale_p,5.70809296461252,5.523869354048623,0.18422361056389747,A4_A5_train_1m,A4_A5_train_1m,0.0
