Unnamed: 0,A6_A7_mean,A8_A9_mean,A10_A11_mean,A10_minus_A6
p_pubmed_abstracts,0.0679866474540181,0.0679866474540181,0.0308602655929873,-0.0371263818610307
p_uspto_backgrounds,0.0748600200011494,0.0748600200011494,0.0451710695894692,-0.0296889504116801
p_stackexchange,0.100897593271717,0.100897593271717,0.0713982914546052,-0.0294993018171118
p_wikipedia_en,0.080236787579037,0.080236787579037,0.0528405390569263,-0.0273962485221106
p_github,0.124418680716792,0.124418680716792,0.097862295390251,-0.026556385326541
p_gutenberg_pg_19,0.05112078974668,0.05112078974668,0.0290086309047063,-0.0221121588419737
p_dm_mathematics,0.029723560158977,0.029723560158977,0.0190200987289226,-0.0107034614300543
p_hackernews,0.0116843108794943,0.0116843108794943,0.0028905979372966,-0.0087937129421976
p_europarl,0.0140975822223609,0.0140975822223609,0.0069932523937095,-0.0071043298286513
p_freelaw,0.0749443012987303,0.0749443012987303,0.0707294647364122,-0.0042148365623181
p_ubuntu_irc,0.0203498645857656,0.0203498645857656,0.0174083071528904,-0.0029415574328752
p_enron_emails,0.0023554788037196,0.0023554788037196,0.0001562499999999,-0.0021992288037196
p_philpapers,0.0052579819731635,0.0052579819731635,0.0042356456780304,-0.0010223362951331
p_nih_exporter,0.0058906376783488,0.0058906376783488,0.0063607991445854,0.0004701614662366
p_arxiv,0.1023589950999019,0.1023589950999019,0.1437073854911521,0.0413483903912501
p_pubmed_central,0.1238399574723472,0.1238399574723472,0.1735624210639126,0.0497224635915654
p_pile_cc,0.1099768110577966,0.1099768110577966,0.2277946856841422,0.1178178746263455
