axis,lambda_Q,lambda_p,source_recipe_id,predicted_loss,Q_A,quality_kink,N_marginal_benefit,D_marginal_benefit,elasticity_N,elasticity_D,dL_dQA_fixed_residual,observed_joint_row
Q_A_topsis_0_1,0.0,0.0,1,2.3855781852659437,0.6258997691888949,False,0.12034501947858552,0.0009566242876972288,-0.05044689804001099,-0.040100311681488005,-0.0,False
Q_A_topsis_0_1,0.0,0.0,2,2.3855781852659437,0.5907136541233324,False,0.12034501947858552,0.0009566242876972288,-0.05044689804001099,-0.040100311681488005,-0.0,False
Q_A_topsis_0_1,0.0,0.0,3,2.3855781852659437,0.6395799290631837,False,0.12034501947858552,0.0009566242876972288,-0.05044689804001099,-0.040100311681488005,-0.0,False
Q_A_topsis_0_1,0.0,0.0,4,2.3855781852659437,0.5757721683429317,False,0.12034501947858552,0.0009566242876972288,-0.05044689804001099,-0.040100311681488005,-0.0,False
Q_A_topsis_0_1,0.0,0.0,5,2.3855781852659437,0.6109178806501913,False,0.12034501947858552,0.0009566242876972288,-0.05044689804001099,-0.040100311681488005,-0.0,False
Q_A_topsis_0_1,0.0,0.0,6,2.3855781852659437,0.6058472075241095,False,0.12034501947858552,0.0009566242876972288,-0.05044689804001099,-0.040100311681488005,-0.0,False
Q_A_topsis_0_1,0.0,0.0,7,2.3855781852659437,0.6214062675382523,False,0.12034501947858552,0.0009566242876972288,-0.05044689804001099,-0.040100311681488005,-0.0,False
Q_A_topsis_0_1,0.0,0.0,8,2.3855781852659437,0.6133355503550058,False,0.12034501947858552,0.0009566242876972288,-0.05044689804001099,-0.040100311681488005,-0.0,False
Q_A_topsis_0_1,0.0,0.0,9,2.3855781852659437,0.6335063460457305,False,0.12034501947858552,0.0009566242876972288,-0.05044689804001099,-0.040100311681488005,-0.0,False
Q_A_topsis_0_1,0.0,0.0,10,2.3855781852659437,0.6183845788066241,False,0.12034501947858552,0.0009566242876972288,-0.05044689804001099,-0.040100311681488005,-0.0,False
