axis,lambda_Q,normalized_Q_position,Q_A,Q_B_assumed,mapping_region,QA_in_domain_score_hull,independent_Q_intervention_observed,predicted_loss_fixed_residual,dL_dQA,left_dL_dQA,right_dL_dQA,fd_left,fd_right,elasticity_QA_defined,elasticity_QA,formal_dL_dQB,formal_elasticity_QB
Q_A_topsis_0_1,0.0,-0.1,0.5056468816503477,0.1,clipped,False,False,2.3855781852659437,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,-0.09,0.506897309739518,0.1,clipped,False,False,2.3855781852659437,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,-0.08,0.5081477378286883,0.1,clipped,False,False,2.3855781852659437,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,-0.07,0.5093981659178585,0.1,clipped,False,False,2.3855781852659437,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,-0.06,0.5106485940070288,0.1,clipped,False,False,2.3855781852659437,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,-0.049999999999999996,0.5118990220961991,0.1,clipped,False,False,2.3855781852659437,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,-0.039999999999999994,0.5131494501853694,0.1,clipped,False,False,2.3855781852659437,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,-0.03,0.5143998782745397,0.1,clipped,False,False,2.3855781852659437,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,-0.01999999999999999,0.5156503063637099,0.1,clipped,False,False,2.3855781852659437,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,-0.009999999999999981,0.5169007344528802,0.1,clipped,False,False,2.3855781852659437,0.0,0.0,0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,1.3877787807814457e-17,0.5181511625420505,0.10000000000000002,lower_kink,True,False,2.3855781852659437,0.0,0.0,-0.0,0.0,0.0,True,0.0,-0.0,-0.0
Q_A_topsis_0_1,0.0,0.010000000000000009,0.5194015906312208,0.10900000000000001,interior,True,False,2.3855781852659437,-0.0,-0.0,-0.0,0.0,0.0,True,-0.0,-0.0,-0.0
