N_params_B,D_tokens_B,predicted_loss,N_term,D_term,dL_dN_B,dL_dD_B,N_marginal_benefit,D_marginal_benefit,d2L_dN_B2,d2L_dD_B2,elasticity_N,elasticity_D,dL_dN_individual,dL_dD_individual,fit
0.1,1.0,3.704485950122281,0.7743828036555088,1.240305583546645,-2.632720186643745,-0.3471344055473152,2.632720186643745,0.3471344055473152,35.277833967824975,0.44428973332558125,-0.07106843492163445,-0.093706498073196,-2.6327201866437447e-09,-3.4713440554731517e-10,full_fit
0.1,10.0,3.115284676673919,0.7743828036555088,0.6511043100982833,-2.632720186643745,-0.018222985579808303,2.632720186643745,0.018222985579808303,35.277833967824975,0.002332320068039295,-0.08450977871642243,-0.05849541043955043,-2.6327201866437447e-09,-1.8222985579808302e-11,full_fit
0.1,100.0,2.8059806682531603,0.7743828036555088,0.3418003016775246,-2.632720186643745,-0.0009566242876972288,2.632720186643745,0.0009566242876972288,35.277833967824975,1.2243625030589052e-05,-0.09382531449451229,-0.03409233351179027,-2.6327201866437447e-09,-9.566242876972287e-13,full_fit
1.0,1.0,3.2840834671350643,0.353980320668292,1.240305583546645,-0.12034501947858547,-0.3471344055473152,0.12034501947858547,0.3471344055473152,0.1612595078488946,0.44428973332558125,-0.03664493326156867,-0.10570206543810678,-1.2034501947858548e-10,-3.4713440554731517e-10,full_fit
1.0,10.0,2.6948821936867025,0.353980320668292,0.6511043100982833,-0.12034501947858547,-0.018222985579808303,0.12034501947858547,0.018222985579808303,0.1612595078488946,0.002332320068039295,-0.04465687582207401,-0.06762071315213435,-1.2034501947858548e-10,-1.8222985579808302e-11,full_fit
1.0,100.0,2.3855781852659437,0.353980320668292,0.3418003016775246,-0.12034501947858547,-0.0009566242876972288,0.12034501947858547,0.0009566242876972288,0.1612595078488946,1.2243625030589052e-05,-0.05044689804001098,-0.040100311681488005,-1.2034501947858548e-10,-9.566242876972287e-13,full_fit
10.0,1.0,3.091912095256612,0.16180894878983984,1.240305583546645,-0.005501125332944818,-0.3471344055473152,0.005501125332944818,0.3471344055473152,0.0007371379120210475,0.44428973332558125,-0.017791984905988264,-0.11227175768672844,-5.501125332944818e-12,-3.4713440554731517e-10,full_fit
10.0,10.0,2.5027108218082503,0.16180894878983984,0.6511043100982833,-0.005501125332944818,-0.018222985579808303,0.005501125332944818,0.018222985579808303,0.0007371379120210475,0.002332320068039295,-0.02198066706312543,-0.07281298910371871,-5.501125332944818e-12,-1.8222985579808302e-11,full_fit
10.0,100.0,2.1934068133874915,0.16180894878983984,0.3418003016775246,-0.005501125332944818,-0.0009566242876972288,0.005501125332944818,0.0009566242876972288,0.0007371379120210475,1.2243625030589052e-05,-0.025080278311203453,-0.04361362798084049,-5.501125332944818e-12,-9.566242876972287e-13,full_fit
0.1,1.0,3.704547059567597,0.7743496167825724,1.240361257852329,-2.6333050089991477,-0.3471285401596461,2.6333050089991477,0.3471285401596461,35.28804292543968,0.4442762240545852,-0.07108304920025806,-0.0937033690159584,-2.6333050089991476e-09,-3.471285401596461e-10,leave_N_0.070542
0.1,10.0,3.115345263439642,0.7743496167825724,0.6511594617243747,-2.6333050089991477,-0.018223403216487258,2.6333050089991477,0.018223403216487258,35.28804292543968,0.0023323420098853432,-0.08452690749569519,-0.05849561340872652,-2.6333050089991476e-09,-1.8223403216487257e-11,leave_N_0.070542
0.1,100.0,2.806028665565549,0.7743496167825724,0.3418428638502814,-2.6333050089991477,-0.0009566843009737756,2.6333050089991477,0.0009566843009737756,35.28804292543968,1.2244227704626505e-05,-0.09384455124475398,-0.03409388908651644,-2.6333050089991476e-09,-9.566843009737755e-13,leave_N_0.070542
1.0,1.0,3.2840891703916606,0.3538917276066362,1.240361257852329,-0.1203467837721658,-0.3471285401596461,0.1203467837721658,0.3471285401596461,0.16127271459924414,0.4442762240545852,-0.03664540684740702,-0.10570009587110192,-1.203467837721658e-10,-3.471285401596461e-10,leave_N_0.070542
1.0,10.0,2.694887374263706,0.3538917276066362,0.6511594617243747,-0.1203467837721658,-0.018223403216487258,0.1203467837721658,0.018223403216487258,0.16127271459924414,0.0023323420098853432,-0.04465744465667951,-0.06762213289698697,-1.203467837721658e-10,-1.8223403216487257e-11,leave_N_0.070542
1.0,100.0,2.3855707763896126,0.3538917276066362,0.3418428638502814,-0.1203467837721658,-0.0009566843009737756,0.1203467837721658,0.0009566843009737756,0.16127271459924414,1.2244227704626505e-05,-0.05044779428187911,-0.0401029518990691,-1.203467837721658e-10,-9.566843009737755e-13,leave_N_0.070542
