N_params_B,D_tokens_B,predicted_loss,N_term,D_term,dL_dN_B,dL_dD_B,N_marginal_benefit,D_marginal_benefit,d2L_dN_B2,d2L_dD_B2,elasticity_N,elasticity_D,dL_dN_individual,dL_dD_individual,fd_dL_dN_B,fd_d2L_dN_B2,fd_dL_dD_B,fd_d2L_dD_B2
0.070542,0.134,4.738596534339873,0.8719265656710506,2.1768724057486954,-4.202242826394356,-4.546708768677904,4.202242826394356,4.546708768677904,79.82346657028347,43.4271127604176,-0.06255747061630908,-0.12857371810147458,-4.2022428263943554e-09,-4.5467087686779044e-09,-4.202242848377946,79.82347959916349,-4.546708790791364,43.42711186077002
0.070542,0.1624992409262676,4.624225043347135,0.8719265656710506,2.0625009147559576,-4.202242826394356,-3.552317493020029,4.202242826394356,3.552317493020029,79.82346657028347,27.97879817191351,-0.06410471174753717,-0.1248314886783773,-4.2022428263943554e-09,-3.552317493020029e-09,-4.2022428484409,79.82349744778497,-3.552317510294488,27.978804054645728
0.070542,0.19705972613144151,4.515862557713351,0.8719265656710506,1.9541384291221735,-4.202242826394356,-2.77540529055822,4.202242826394356,2.77540529055822,79.82346657028347,18.025908180066246,-0.06564296624864797,-0.12111099473720364,-4.2022428263943554e-09,-2.77540529055822e-09,-4.202242848377946,79.82347959916349,-2.77540530405747,18.025907839649417
0.070542,0.23897056651863752,4.413193368120661,0.8719265656710506,1.851469239529483,-4.202242826394356,-2.168408241097251,4.202242826394356,2.168408241097251,79.82346657028347,11.613556941211405,-0.0671700940187323,-0.11741741242563308,-4.2022428263943554e-09,-2.168408241097251e-09,-4.202242848377946,79.82347959916349,-2.16840825163613,11.613556019220834
0.070542,0.2897950422611845,4.315918352417869,0.8719265656710506,1.7541942238266917,-4.202242826394356,-1.6941649264899823,4.202242826394356,1.6941649264899823,79.82346657028347,7.482269602144617,-0.06868401792018185,-0.11375576560537445,-4.2022428263943554e-09,-1.6941649264899822e-09,-4.202242848377946,79.82347959916349,-1.6941649347237013,7.4822704504074835
0.070542,0.35142891337043375,4.223754104141268,0.8719265656710506,1.6620299755500898,-4.202242826394356,-1.323641343798085,4.202242826394356,1.323641343798085,79.82346657028347,4.8206039443879165,-0.0701827346362008,-0.11013089959168318,-4.2022428263943554e-09,-1.323641343798085e-09,-4.202242848377946,79.82347959916349,-1.3236413502361302,4.820603252646514
0.070542,0.4261711318077503,4.136432106822408,0.8719265656710506,1.5747079782312299,-4.202242826394356,-1.0341533929884241,4.202242826394356,1.0341533929884241,79.82346657028347,3.1057718612528524,-0.07166432466535287,-0.10654745698008476,-4.2022428263943554e-09,-1.034153392988424e-09,-4.202242848314992,79.82346175054201,-1.0341533980222497,3.1057718930715947
0.070542,0.5168095927122967,4.053697951677232,0.8719265656710506,1.491973823086054,-4.202242826394356,-0.8079781167613735,4.202242826394356,0.8079781167613735,79.82346657028347,2.00095651196974,-0.07312696135558391,-0.10300985579626686,-4.2022428263943554e-09,-8.079781167613735e-10,-4.202242848377946,79.82347959916349,-0.8079781206936961,2.000956157855312
0.070542,0.6267251232773262,3.975310596397307,0.8719265656710506,1.4135864678061296,-4.202242826394356,-0.6312686701909447,4.202242826394356,0.6312686701909447,79.82346657028347,1.2891568156519335,-0.07456891889860368,-0.09952227016049559,-4.2022428263943554e-09,-6.312686701909447e-10,-4.202242848377946,79.82347959916349,-0.6312686732584893,1.2891567686972332
0.070542,0.7600175880745298,3.901041662883705,0.8719265656710506,1.3393175342925274,-4.202242826394356,-0.49320659272550027,4.202242826394356,0.49320659272550027,79.82346657028347,0.8305654247856867,-0.0759885792248581,-0.09608861361111443,-4.2022428263943554e-09,-4.932065927255003e-10,-4.202242848377946,79.82347959916349,-0.4932065951261141,0.8305655331949743
0.070542,0.9216588145725657,3.830674771877491,0.8719265656710506,1.2689506432863136,-4.202242826394356,-0.38533948316224703,4.202242826394356,0.38533948316224703,79.82346657028347,0.535108620203488,-0.0773844377590484,-0.09271252518397818,-4.2022428263943554e-09,-3.85339483162247e-10,-4.202242848377946,79.82347959916349,-0.38533948503429355,0.5351087089840466
