axis,train_position,source_recipe_id,weight
Q_A_topsis_0_1,31,32,0.03225824304428076
Q_A_topsis_0_1,64,65,0.008339364157566125
Q_A_topsis_0_1,68,69,0.01602944754249845
Q_A_topsis_0_1,76,77,0.05850144755069291
Q_A_topsis_0_1,104,105,0.03544306184941085
Q_A_topsis_0_1,106,107,0.017489310321335817
Q_A_topsis_0_1,140,141,0.08349877263521172
Q_A_topsis_0_1,158,159,0.045839268068682125
Q_A_topsis_0_1,187,188,0.29224144055589885
Q_A_topsis_0_1,257,258,0.08698250033073956
Q_A_topsis_0_1,314,315,0.15009051388508413
Q_A_topsis_0_1,339,340,0.051535075498122834
Q_A_topsis_0_1,367,368,0.0014548770602403412
Q_A_topsis_0_1,392,393,0.019865795567011985
Q_A_topsis_0_1,430,431,0.053348064611437096
Q_A_topsis_0_1,442,443,0.04708281732178656
quality_score_soft_proxy_0_1,154,155,0.03306202713372867
quality_score_soft_proxy_0_1,183,184,0.04493827206029966
quality_score_soft_proxy_0_1,191,192,0.031994885165249995
quality_score_soft_proxy_0_1,192,193,0.005295783405287204
quality_score_soft_proxy_0_1,197,198,0.026504124772327376
quality_score_soft_proxy_0_1,207,208,0.15499459162502122
quality_score_soft_proxy_0_1,219,220,0.08950914309960173
quality_score_soft_proxy_0_1,262,263,0.0020654407016417716
quality_score_soft_proxy_0_1,264,265,0.06773839203910384
quality_score_soft_proxy_0_1,323,324,0.008319282737846975
quality_score_soft_proxy_0_1,324,325,0.11754182403638945
quality_score_soft_proxy_0_1,360,361,0.0991869876602916
quality_score_soft_proxy_0_1,447,448,0.13860939588390475
quality_score_soft_proxy_0_1,452,453,0.12334329334448596
quality_score_soft_proxy_0_1,485,486,0.02113621895272991
quality_score_soft_proxy_0_1,500,501,0.03576033738208987
