axis,N0_B,lambda_Q,target_multiplier,target_N_B,target_in_B1,required_gain,required_delta_QB,required_t_QA,feasible_path,formal_coordinate,status
Q_A_topsis_0_1,0.1,0.0,1.25,0.125,True,0.056574355723260146,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,0.1,0.0,1.5,0.15000000000000002,True,0.0997168478029217,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,0.1,0.0,2.0,0.2,True,0.16257846672493803,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,0.1,0.0,4.0,0.4,True,0.29102425679711524,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,1.0,0.0,1.25,1.25,True,0.02586086427279509,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,1.0,0.0,1.5,1.5,True,0.0455818512429313,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,1.0,0.0,2.0,2.0,True,0.07431670423644147,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,1.0,0.0,4.0,4.0,True,0.133030923797634,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,10.0,0.0,1.25,12.5,False,0.011821333047208941,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,10.0,0.0,1.5,15.0,False,0.020836049358871143,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,10.0,0.0,2.0,20.0,False,0.03397111954506794,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,10.0,0.0,4.0,40.0,False,0.06081014304862348,,,False,False,NO_QUALITY_EFFECT
Q_A_topsis_0_1,0.1,0.5,1.25,0.125,True,0.056574355723260146,0.31256957137690394,0.0434273079855108,False,False,CONDITIONAL
Q_A_topsis_0_1,0.1,0.5,1.5,0.15000000000000002,True,0.0997168478029217,0.5509289850206904,0.07654411977866077,False,False,CONDITIONAL
Q_A_topsis_0_1,0.1,0.5,2.0,0.2,True,0.16257846672493803,0.8982352694903962,0.12479762351713697,False,False,CONDITIONAL
Q_A_topsis_0_1,0.1,0.5,4.0,0.4,True,0.29102425679711524,1.607889759316456,0.22339450214872741,False,False,CONDITIONAL
Q_A_topsis_0_1,1.0,0.5,1.25,1.25,True,0.02586086427279509,0.1428795636794225,0.019851179977016048,False,True,CONDITIONAL
Q_A_topsis_0_1,1.0,0.5,1.5,1.5,True,0.0455818512429313,0.2518367115882342,0.03498929978380044,False,False,CONDITIONAL
Q_A_topsis_0_1,1.0,0.5,2.0,2.0,True,0.07431670423644147,0.4105948727539491,0.05704659579564858,False,False,CONDITIONAL
Q_A_topsis_0_1,1.0,0.5,4.0,4.0,True,0.133030923797634,0.7349870502229002,0.10211649475279178,False,False,CONDITIONAL
Q_A_topsis_0_1,10.0,0.5,1.25,12.5,False,0.011821333047208941,0.06531208277022517,0.009074229206456022,True,True,CONDITIONAL
Q_A_topsis_0_1,10.0,0.5,1.5,15.0,False,0.020836049358871143,0.11511779381365028,0.015994058105322406,False,True,CONDITIONAL
Q_A_topsis_0_1,10.0,0.5,2.0,20.0,False,0.03397111954506794,0.18768818733590625,0.02607673127225243,False,True,CONDITIONAL
Q_A_topsis_0_1,10.0,0.5,4.0,40.0,False,0.06081014304862348,0.3359720160323752,0.04667876066911683,False,False,CONDITIONAL
