axis,variant,mode,total_correction,dominant_domain,max_share,scope,budget,context,predicted_loss,scale_loss,N_B,D_B,train_share,attention_share,quality_share,utilization,N_outside_B1,D_outside_B1
Q_A_topsis_0_1,scale_only,reference,0.0,p_pile_cc,0.11948759779188559,unrestricted,1e+19,2048,2.9989349332237687,2.9989349332237687,0.2213087272135689,7.049698310604192,0.9360958562156763,0.06390414378432352,0.0,0.9999999999999998,False,False
Q_A_topsis_0_1,scale_only,reference,0.0,p_pile_cc,0.11948759779188559,unrestricted,1e+19,4096,3.0114429400951694,3.0114429400951694,0.21520455819620823,6.814203609060532,0.8798686062881277,0.12013139371187238,0.0,1.0,False,False
Q_A_topsis_0_1,scale_only,reference,0.0,p_pile_cc,0.11948759779188559,unrestricted,1e+19,8192,3.034660641313956,3.034660641313956,0.20445862465626666,6.4031277647124885,0.7855048177628823,0.21449518223711772,0.0,1.0,False,False
Q_A_topsis_0_1,scale_only,reference,0.0,p_pile_cc,0.11948759779188559,unrestricted,1e+19,32768,3.1412393940559706,3.1412393940559706,0.16337378017880655,4.8758389863912335,0.4779505480499618,0.5220494519500383,0.0,1.0,False,False
Q_A_topsis_0_1,scale_only,reference,0.0,p_pile_cc,0.11948759779188559,unrestricted,1e+19,131072,3.367161233233377,3.367161233233377,0.10675361230295494,2.907819024251431,0.1862521108572564,0.8137478891427437,0.0,1.0,False,False
Q_A_topsis_0_1,scale_only,reference,0.0,p_pile_cc,0.11948759779188559,unrestricted,1e+22,2048,2.143179646098187,2.143179646098187,5.0068545581686505,311.60476946830227,0.9360958562156764,0.06390414378432352,0.0,1.0,False,True
Q_A_topsis_0_1,scale_only,reference,0.0,p_pile_cc,0.11948759779188559,unrestricted,1e+22,4096,2.147511434602892,2.147511434602892,4.868754778493399,301.1956329418302,0.8798686062881277,0.12013139371187238,0.0,1.0,False,True
Q_A_topsis_0_1,scale_only,reference,0.0,p_pile_cc,0.11948759779188559,unrestricted,1e+22,8192,2.1555522177811595,2.1555522177811595,4.625640433191001,283.0256080601439,0.7855048177628823,0.21449518223711778,0.0,1.0,False,False
Q_A_topsis_0_1,scale_only,reference,0.0,p_pile_cc,0.11948759779188559,unrestricted,1e+22,32768,2.1924627040576965,2.1924627040576965,3.6961432396839884,215.5176883291034,0.47795054804996184,0.5220494519500383,0.0,1.0,False,False
Q_A_topsis_0_1,scale_only,reference,0.0,p_pile_cc,0.11948759779188559,unrestricted,1e+22,131072,2.2707042365394354,2.2707042365394354,2.4151772823862117,128.52894362081642,0.18625211085725638,0.8137478891427438,0.0,1.0000000000000002,False,False
