pair,role,target,ilr_coordinate,pearson_r,absolute_r,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_reps
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_1,-0.6396613016115847,0.6396613016115847,-0.7039464382087097,-0.573393213411214,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_2,-0.4260989677858639,0.4260989677858639,-0.5100250405761565,-0.33321848835655654,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_3,-0.36823054941050265,0.36823054941050265,-0.4568981586869237,-0.2758622024146423,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_4,-0.17238007174346073,0.17238007174346073,-0.2839817902205784,-0.058227356138471915,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_5,-0.14168749905492253,0.14168749905492253,-0.26365472461753847,-0.002294549538328259,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_6,-0.35181947651184436,0.35181947651184436,-0.46023660907837394,-0.23911622017959683,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_7,-0.009919404529242825,0.009919404529242825,-0.12804743610179758,0.11277659790500456,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_8,0.06782968695428941,0.06782968695428941,-0.047195313759582073,0.18410234224350838,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_9,-0.15792234917406905,0.15792234917406905,-0.26646027412313367,-0.05119186901787519,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_10,-0.05693033654496817,0.05693033654496817,-0.17582192139543468,0.055918698219391445,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_11,-0.05568407388764679,0.05568407388764679,-0.17845940556915327,0.057356939284160066,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_12,-0.020710950007261253,0.020710950007261253,-0.1306630522179754,0.09115810626444222,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_13,-0.06481657878771985,0.06481657878771985,-0.1936589001841983,0.06015030404122812,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_14,0.0846468344328043,0.0846468344328043,-0.014719126460831495,0.19289050859597706,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_15,0.015461870240704055,0.015461870240704055,-0.11801929817449826,0.1500055698380351,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_arxiv_val_loss,ilr_16,-0.10174033093246537,0.10174033093246537,-0.22506792197124126,0.01561275426584729,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_freelaw_val_loss,ilr_1,0.6395318117369905,0.6395318117369905,0.5729008487232374,0.7035475117182206,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_freelaw_val_loss,ilr_2,-0.38095101670152276,0.38095101670152276,-0.47785274525115806,-0.2831050481080419,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_freelaw_val_loss,ilr_3,-0.30908367552960275,0.30908367552960275,-0.4182132502101266,-0.19972598641285963,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_freelaw_val_loss,ilr_4,-0.1295047139675125,0.1295047139675125,-0.23980246112535014,-0.0129956510741936,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_freelaw_val_loss,ilr_5,-0.18938381885980224,0.18938381885980224,-0.2898742076701771,-0.06514017983437428,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_freelaw_val_loss,ilr_6,-0.2662651122140345,0.2662651122140345,-0.3736171655438655,-0.14645182377816626,1000
A6_A8_1m_vs_60m,validation,metric/the_pile_freelaw_val_loss,ilr_7,-0.02470258661011021,0.02470258661011021,-0.14698696613427611,0.09025927919526357,1000
