indicator,parent_field,direction,direction_status,final_matrix_eligible,fit_count,fit_unique_count,fit_missing_rate,raw_min,raw_p01,raw_median,raw_p99,raw_max,fit_iqr,near_constant,max_abs_spearman_corr,strong_corr_ge_0_9,max_domain_median_shift_in_iqr,A2_median_shift_in_iqr,A3_median_shift_in_iqr,primary_rule
fineweb_edu,fineweb_edu,benefit,confirmed,True,40919,40871,0.0,-0.652137815952301,0.035733166038990016,1.2144255638122559,3.237854328155517,4.346915245056152,0.7577976584434509,False,0.5968963156278042,False,1.2593595823729218,1.2544773034832015,0.11435766122229227,quantile_01_99
fluency_en_fluent_margin,fluency_en,benefit,confirmed,True,40919,18156,0.0,-6.224609375,-3.3720703125,2.16845703125,7.1484375,7.533203125,4.5895843505859375,False,0.5946682526520672,False,0.656100909958342,0.6584414677691226,0.4136204506238717,quantile_01_99
modernbert_cleanliness_expected,modernbert_cleanliness,benefit,confirmed,True,40919,40919,0.0,1.000000166497094,1.0003027795870698,3.9992241216601134,4.999998365250434,4.999999961220566,2.3587730929223145,False,0.6494138652984459,False,0.8476219316675394,0.4231678317418096,0.847645262924941,quantile_01_99
modernbert_readability_expected,modernbert_readability,benefit,confirmed,True,40919,40919,0.0,0.08119688572426337,1.0027719088942413,4.051764305726996,4.991992570846559,4.999719720417957,1.3840932198913807,False,0.6494138652984459,False,0.8693142307270263,0.5085783931121141,0.8581859811899654,quantile_01_99
modernbert_reasoning_expected,modernbert_reasoning,pending_verification,pending_verification,False,40910,40910,0.00021994672401570714,9.09978024008924e-05,0.020908563934972223,1.2454482493929897,4.999966456265855,4.999998380852863,1.0810015481553708,False,0.5892110472936549,False,3.4731660181071615,3.473168685202725,0.21751229795630844,withheld_pending_direction
modernbert_professionalism_expected,modernbert_professionalism,pending_verification,pending_verification,False,40914,40914,0.0001221926244532323,1.0000103620660563,1.000521575360331,2.7617987193358666,4.999948785867388,4.9999923398470605,2.556781433923472,False,0.7528077191111688,False,0.875365478933022,0.8753662342264545,0.641050646491062,withheld_pending_direction
dsir_books,dsir_books,benefit,confirmed,True,40919,40919,0.0,-573233.88920684,-56861.634403391996,-2106.96312046,-234.39492144220003,-36.84280287,2557.881415775,False,0.9990056858070911,True,15.93939028175275,12.732456503012804,0.03488544782204592,quantile_01_99
dsir_wiki,dsir_wiki,benefit,confirmed,True,40919,40919,0.0,-578904.42370064,-61035.0048961388,-2134.21777165,-233.23648886100023,-36.72814984,2612.764171605,False,0.9990056858070911,True,25.0074724606519,12.250024584799673,0.02388631381785306,quantile_01_99
dsir_math,dsir_math,benefit,confirmed,True,40919,40919,0.0,-434443.58379098,-45719.5578708658,-2128.87425481,-230.56234010440028,-37.63506604,2628.623852955,False,0.9969925908601059,True,31.63481436055947,8.1373445997624,0.02671775166730258,quantile_01_99
qurater_writing_style,qurater,benefit,confirmed,True,40919,9947,0.0,-7.74609375,-5.30859375,-1.62109375,5.628203124999999,9.4921875,3.784423828125,False,0.6439150834342794,False,1.1973421069608412,1.2027611121863107,0.36694406812463715,quantile_01_99
qurater_required_expertise,qurater,pending_verification,pending_verification,False,40919,11744,0.0,-8.375,-5.109375,0.62890625,8.272031249999998,10.875,3.4873046875,False,0.7528077191111688,False,2.0050406048725846,2.0106412769532342,0.4102492299075889,withheld_pending_direction
qurater_facts_trivia,qurater,benefit,confirmed,True,40919,11117,0.0,-6.73828125,-4.203125,-0.56396484375,5.061796874999999,7.78125,2.81298828125,False,0.6409825541544086,False,0.9333449053983683,0.9503558409998264,0.4855059885436556,quantile_01_99
qurater_educational_value,qurater,benefit,confirmed,True,40919,11251,0.0,-7.828125,-4.702421875,1.0048828125,8.421875,12.8203125,4.228515625,False,0.6070059534028254,False,1.1558891454965359,1.1674364896073903,0.172459584295612,quantile_01_99
ad_en_no_ad_margin,ad_en,benefit,confirmed,True,40919,9677,0.0,-7.138671875,-3.4451367187499997,5.15625,8.1051171875,8.537109375,3.552734375,False,0.3322369104744837,False,0.6735843870258383,0.4337548103353491,0.04178119846069269,quantile_01_99
rps_doc_word_count,rps_doc_word_count,pending_verification,pending_verification,False,40919,4117,0.0,1.0,11.0,254.0,10025.219999999994,375539.0,457.0,False,0.9504694972727649,True,146.5601750547046,11.609409190371991,0.31072210065645517,withheld_pending_direction
rps_doc_num_sentences,rps_doc_num_sentences,pending_verification,pending_verification,False,40919,1025,0.0,1.0,1.0,20.0,755.8199999999997,25078.0,36.0,False,0.8955090801489718,False,127.08333333333333,9.222222222222221,0.05555555555555555,withheld_pending_direction
rps_doc_unigram_entropy,rps_doc_unigram_entropy,pending_verification,pending_verification,False,40919,37692,0.0,0.0,2.1470386708,4.60881324,6.3294749406,7.44344314,1.0899934350000011,False,0.9504694972727649,True,1.8153915853630787,1.2228721450969091,0.656254466339973,withheld_pending_direction
rps_doc_frac_unique_words,rps_doc_frac_unique_words,benefit,confirmed,True,40919,20327,0.0,5.088363331179848,17.25205530286805,55.68513119533528,100.0,100.0,20.52782170017317,False,0.8268952649860425,False,2.1955144456426354,1.5393625701973364,0.21019613613597976,quantile_01_99
rps_doc_frac_no_alph_words,rps_doc_frac_no_alph_words,cost,confirmed,True,40919,35474,0.0,6.906906906906912,16.63688016857759,23.47881490920676,99.8788419070795,100.0,11.043189348680272,False,0.5742964829642677,False,1.030921801974285,0.5497282084286086,1.030921801974285,quantile_01_99
rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_2gram,cost,confirmed,True,40919,21652,0.0,0.0,0.0,2.272727272727273,21.0,135.13338722716247,3.2572227947410166,False,0.4840922259078269,False,0.4866299522354612,0.39174583867085827,0.08373000249402884,quantile_01_99
rps_doc_frac_chars_top_3gram,rps_doc_frac_chars_top_3gram,cost,confirmed,True,40919,17694,0.0,0.0,0.0,1.73841059602649,20.14201992329404,201.6814874696847,3.2970972386456334,False,0.4840922259078269,False,0.47388085805512997,0.32000285990534794,0.22395778546398312,quantile_01_99
rps_lines_uppercase_letter_fraction,rps_lines_uppercase_letter_fraction,pending_verification,pending_verification,False,40919,40695,0.0,0.0,1.1261530287368529,18.143085962646115,52.73981144319172,82.02247191011236,25.604838932575085,False,0.36000718499292306,False,1.3169404717265438,0.04391213608713705,0.12502722671654712,withheld_pending_direction
rps_lines_ending_with_terminal_punctution_mark,rps_lines_ending_with_terminal_punctution_mark,benefit,confirmed,True,40919,5749,0.0,0.0,0.4062403459993823,50.0,100.0,100.0,51.42857142857143,False,0.5864109161760241,False,0.9722222222222222,0.3227910184546696,0.5482295128423114,quantile_01_99
rps_lines_numerical_chars_fraction,rps_lines_numerical_chars_fraction,pending_verification,pending_verification,False,40919,32574,0.0,0.0,0.0,1.2002248555162869,19.30338850735803,72.34424037417816,2.8436356261303795,False,0.2766631781162147,False,0.6411171505375978,0.6813893726618117,0.2141731666400481,withheld_pending_direction
rps_doc_mean_word_length,rps_doc_mean_word_length,pending_verification,pending_verification,False,40919,32605,0.0,1.9272030651340997,3.9541170323928947,5.325443786982248,16.637912087912078,83.0,1.612998121206104,False,0.5864109161760241,False,2.301519031876463,0.24972473152405492,2.279989328031855,withheld_pending_direction
